Year,Month,Day,Location,Province
2000,1,2,Mission,BC
2000,1,4,Whitehorse,YT
2000,1,2,Vancouver,BC
2000,1,2,Vancouver,BC
2000,1,4,Mission,BC
2000,1,5,Mission,BC
2000,1,7,Mission,BC
2000,1,13,Gibsons,BC
2000,1,15,Kelowna,BC
2000,1,17,Burnaby,BC
2000,1,18,Whitehorse,YT
2000,1,20,Kelowna,BC
2000,1,24,Glace Bay,NS
2000,1,24,Braeburn,YT
2000,1,28,Victoria,BC
2000,1,28,Prince Albert,SK
2000,1,29,Prince Albert,SK
2000,1,30,Mission,BC
2000,2,2,St. Paul,AB
2000,2,6,Black Creek,BC
2000,2,14,Elsa,YT
2000,2,14,Medicine Hat,AB
2000,2,17,Cornwall,ON
2000,2,19,Surrey,BC
2000,2,19,Mission,BC
2000,2,21,Camp Morton,MB
2000,2,22,Calmar,AB
2000,2,22,Speden,AB
2000,2,26,Waterford,ON
2000,2,27,Argyle,MB
2000,2,29,Windsor,ON
2000,2,29,St. Paul,AB
2000,3,7,Burnaby,BC
2000,3,16,Sudbury,ON
2000,3,16,Corbow Hill,BC
2000,3,18,Edmonton,AB
2000,3,21,Upper Granville,NS
2000,3,21,Montreal,PQ
2000,3,23,Quesnel,BC
2000,3,25,Whitehorse,YT
2000,3,26,Sudbury,ON
2000,3,29,Burnaby,BC
2000,3,30,Little Fox Lake,YT
2000,3,30,Acton,ON
2000,3,31,Jonquiere,PQ
2000,4,1,Pelly Crossing,YT
2000,4,2,St-Bruno,PQ
2000,4,3,Val-D'Or,PQ
2000,4,17,Cranbrook,BC
2000,4,20,Winnipeg,MB
2000,4,22,Surrey,BC
2000,4,22,Capreol ,ON
2000,4,23,Orangeville,ON
2000,4,24,LaTuque,PQ
2000,4,24,Langley,BC
2000,4,25,Winnipeg,MB
2000,4,25,Winnipeg,MB
2000,4,25,Winnipeg,MB
2000,4,25,Winnipeg,MB
2000,4,26,Winnipeg,MB
2000,4,27,Winnipeg,MB
2000,4,27,Estevan,SK
2000,4,28,Aldergrove,BC
2000,4,29,Vancouver,BC
2000,5,4,Kamloops,BC
2000,5,6,Kamloops,BC
2000,5,6,Sudbury,ON
2000,5,7,Capreol ,ON
2000,5,8,Kamloops,BC
2000,5,11,Calgary,AB
2000,5,15,North Vancouver,BC
2000,5,18,Thurso,SK
2000,5,18,Winnipeg,MB
2000,5,18,Sorrento,BC
2000,6,3,Whistler,BC
2000,6,8,Vancouver,BC
2000,6,8,Kelowna,BC
2000,6,12,Burnaby,BC
2000,6,16,Fort St. John,BC
2000,6,19,Willmar,SK
2000,6,21,Montreal,PQ
2000,6,25,Ashern,MB
2000,6,27,Mattawa,ON
2000,7,7,Toronto,ON
2000,7,7,Woodbridge,ON
2000,7,7,Edmonton,AB
2000,7,8,St. Paul,AB
2000,7,10,North Vancouver,BC
2000,7,11,Vancouver,BC
2000,7,11,Vancouver,BC
2000,7,14,Delta,BC
2000,7,14,Surrey,BC
2000,7,15,Gimli,MB
2000,7,16,Whitehorse,YT
2000,7,20,Dowling,ON
2000,7,21,Winnipeg,MB
2000,7,24,Vancouver,BC
2000,7,25,Kingston,ON
